genome	KO_number	median_high	median_low	IQR_high	IQR_low	direction
Eubacterium pyruvativorans i6	K00027	0.1471227745	0.11795963	0.01401531975	0.02282503975	HME
Fibrobacter succinogenes subsp. succinogenes S85	K02029	0.0705295415	0.048355897	0.00818086250000001	0.0086912275	HME
Fibrobacter succinogenes subsp. succinogenes S85	K02030	0.0705295415	0.048355897	0.00818086250000001	0.0086912275	HME
Fibrobacter succinogenes subsp. succinogenes S85	K02489	0.0705295415	0.048355897	0.00818086250000001	0.0086912275	HME
Kandleria vitulina KH4T7	K02280	0.236143925	0.27096102	0.032260302	0.03367369925	LME
Kandleria vitulina S3b	K01875	0.163533835	0	0.07684576075	0	HME
Kandleria vitulina WCE2011	K02280	0.300901641	0.413873806	0.04020980675	0.066442535	LME
Lachnospira multipara D15d	K01869	0.1144979505	0.127343427	0.0100361075	0.01014188425	LME
Lachnospiraceae bacterium C7	K01006	0.141876149	0.106752907	0.00709718375000001	0.011902317	HME
Lachnospiraceae bacterium G41	K01358	0.0519755325	0.0804734925	0.01803258475	0.01250165625	LME
Lachnospiraceae bacterium G41	K02469	0.0583444775	0.094308455	0.01400025575	0.01349011325	LME
Lachnospiraceae bacterium G41	K00962	0.0293245355	0.047379985	0.01142604225	0.00884148824999999	LME
Lachnospiraceae bacterium NC2008	K01869	0.0727862435	0.052807914	0.01093160475	0.0142846555	HME
Lachnospiraceae bacterium NK3A20	K00826	0.180411445	0.097791045	0.03408181925	0.00847455600000001	HME
Lachnospiraceae bacterium NK3A20	K01153	0.1082991015	0.039245573	0.01175186425	0.00418588324999999	HME
Lachnospiraceae bacterium NK3A20	K01610	0.1774565005	0.1209620355	0.013989772	0.00477145174999999	HME
Lachnospiraceae bacterium NK3A20	K01624	0.1265965275	0.0608717015	0.017237046	0.01187599575	HME
Lachnospiraceae bacterium NK3A20	K01689	0.102495777	0.0692140415	0.006762987	0.00368675424999999	HME
Lachnospiraceae bacterium NK3A20	K01869	0.162339536	0.112209014	0.01022913225	0.00813572674999999	HME
Lachnospiraceae bacterium NK3A20	K01873	0.192801053	0.130387383	0.02451223	0.003868486	HME
Lachnospiraceae bacterium NK3A20	K01889	0.098579995	0.029150678	0.02976507025	0.0055369135	HME
Lachnospiraceae bacterium NK3A20	K01945	0.1891631025	0.1476650485	0.0184789645	0.0119491805	HME
Lachnospiraceae bacterium NK3A20	K02011	0.1713252375	0.086997331	0.01009523275	0.01049764425	HME
Lachnospiraceae bacterium NK3A20	K02012	0.250061232	0.155011282	0.029397155	0.01792995075	HME
Lachnospiraceae bacterium NK3A20	K02026	0.1487775405	0.1112118035	0.02756227075	0.0168043175	HME
Lachnospiraceae bacterium NK3A20	K02112	0.13917046	0.114163051	0.02457434475	0.003181341	HME
Lachnospiraceae bacterium NK3A20	K02518	0.034506716	0.018331693	0.0045025215	0.00207698975	HME
Lachnospiraceae bacterium NK3A20	K01006	0.1467432115	0.0936015225	0.00928212449999999	0.0171983885	HME
Lachnospiraceae bacterium NK3A20	K02470	0.1240270845	0.102876458	0.01844761	0.00989485825	HME
Lachnospiraceae bacterium NK3A20	K02474	0.1814156585	0.100275157	0.05786476875	0.008124061	HME
Lachnospiraceae bacterium NK3A20	K00688	0.155572466	0.108856661	0.015957487	0.01778272775	HME
Lachnospiraceae bacterium NK3A20	K00763	0.140488282	0.097101718	0.01895360725	0.023305379	HME
Lachnospiraceae bacterium NK3A20	K00790	0.165817255	0.1049931705	0.01822643275	0.01746670725	HME
Lachnospiraceae bacterium NK3A20	K01652	0.15160545	0.131526215	0.013598587	0.0124832	HME
Lachnospiraceae bacterium NK3A20	K01880	0.1578872305	0.1113612245	0.02484142775	0.0103700995	HME
Lachnospiraceae bacterium NK3A20	K01893	0.1942290555	0.130779952	0.02487622825	0.0106930615	HME
Lachnospiraceae bacterium NK3A20	K02027	0.1879574615	0.1285598855	0.024651294	0.0238567465	HME
Lachnospiraceae bacterium NK3A20	K00088	0.1451467815	0.0980448895	0.019091836	0.01243816175	HME
Lachnospiraceae bacterium NK3A20	K00548	0.1632044425	0.131572426	0.03436646475	0.018748753	HME
Lachnospiraceae bacterium NK3A20	K00962	0.115180634	0.0885858185	0.0130701675	0.00305897050000001	HME
Lachnospiraceae bacterium NK3A20	K01872	0.172793605	0.114225182	0.02216363975	0.02318347075	HME
Lachnospiraceae bacterium NK3A20	K00009	0.17869411	0.130198168	0.02110267475	0.02239803075	HME
Lachnospiraceae bacterium NK3A20	K00874	0.126892809	0.093339687	0.02004250525	0.02489893525	HME
Lachnospiraceae bacterium NK3A20	K01756	0.117731773	0.0761455525	0.01937133275	0.02695047275	HME
Lachnospiraceae bacterium NK3A20	K02031	0.1859414405	0.141200357	0.01801501875	0.0136356905	HME
Lachnospiraceae bacterium NK3A20	K02032	0.1732720205	0.135975171	0.023060551	0.0140681955	HME
Lachnospiraceae bacterium NK3A20	K01883	0.162527491	0.1300928035	0.017690537	0.01366103975	HME
Lachnospiraceae bacterium NK3A20	K00041	0.1892628875	0.153844467	0.026112708	0.01447750975	HME
Lachnospiraceae bacterium NK3A20	K01952	0.1852372805	0.138293821	0.02316953925	0.012199116	HME
Lachnospiraceae bacterium NK3A20	K02377	0.0787852135	0.0599916325	0.025011289	0.01011544025	HME
Lachnospiraceae bacterium NK3A20	K00040	0.162132644	0.1120066505	0.01622920275	0.035189633	HME
Lachnospiraceae bacterium NK3A20	K00626	0.1394768925	0.090437356	0.01480716625	0.01329550575	HME
Lachnospiraceae bacterium NK3A20	K00702	0.199890616	0.151841819	0.02238695225	0.032116496	HME
Lachnospiraceae bacterium NK3A20	K01190	0.2126366265	0.1932265645	0.00885791899999999	0.024827626	HME
Lachnospiraceae bacterium NK3A20	K01687	0.124840915	0.0799873705	0.039766618	0.011458679	HME
Lachnospiraceae bacterium NK3A20	K01870	0.17489572	0.1415742605	0.01818989725	0.01164996825	HME
Lachnospiraceae bacterium NK3A20	K01940	0.124489218	0.076795978	0.0394444685	0.03977931875	HME
Lachnospiraceae bacterium NK3A20	K02010	0.158715511	0.0984383995	0.0234251185	0.01592058075	HME
Lachnospiraceae bacterium NK3A20	K00789	0.075633908	0.0609277615	0.02708802525	0.00713880924999999	HME
Lachnospiraceae bacterium NK3A20	K00973	0.1367493115	0.183246753	0.03780483825	0.04670339	LME
Lachnospiraceae bacterium NK3A20	K01808	0.229085196	0.2814546195	0.0283205335	0.034949999	LME
Lachnospiraceae bacterium NLAE-zl-G231	K02031	0.0956296415	0.0594340805	0.026384019	0.04435742975	HME
Lachnospiraceae bacterium NLAE-zl-G231	K02032	0.0956296415	0.0594340805	0.026384019	0.04435742975	HME
Lachnospiraceae bacterium XBB2008	K01990	0.0714298285	0.1189954655	0.01724775125	0.0434305095	LME
Lampropedia hyalina DSM 16112	K01744	0.586707138	0.348700887	0.0476403485000001	0.03936945575	HME
Lampropedia hyalina DSM 16112	K02470	0.2185961	0.2701063815	0.02776563075	0.04932942775	LME
Methanobrevibacter gottschalkii DSM	K00133	0.1938923195	0.115741512	0.02005245175	0.04495315325	HME
Methanobrevibacter gottschalkii DSM	K00337	0.131085253	0.1062862785	0.00772677500000002	0.00777889949999999	HME
Methanobrevibacter gottschalkii DSM	K00928	0.134210812	0.0726316285	0.03114235825	0.02493538225	HME
Methanobrevibacter gottschalkii DSM	K00939	0.2251884215	0.1175307735	0.02590817275	0.06771025625	HME
Methanobrevibacter gottschalkii DSM	K01494	0.05526605	0.037832572	0.00359046875	0.0090883735	HME
Methanobrevibacter gottschalkii DSM	K01960	0.113329695	0.0959257435	0.00959990325	0.00937671500000001	HME
Methanobrevibacter gottschalkii DSM	K01964	0.063487134	0.050051511	0.00343520125	0.0100655885	HME
Methanobrevibacter gottschalkii DSM	K02118	0.0367671585	0.0655414655	0.00593872525	0.02161171425	LME
Methanobrevibacter gottschalkii DSM	K02123	0.1798755415	0.162312124	0.01129248225	0.00750442574999999	HME
Olsenella sp. kh2p3	K00134	0.338002205	0.1834728545	0.09086784825	0.0384487455	HME
Olsenella sp. kh2p3	K00385	0.309677573	0.2214139835	0.04244413975	0.11398070975	HME
Olsenella sp. kh2p3	K00927	0.2384558945	0.1414694305	0.0280225155	0.04777718075	HME
Olsenella sp. kh2p3	K01006	0.30144137	0.231042034	0.01933410925	0.07512154575	HME
Olsenella sp. kh2p3	K01803	0.2384558945	0.1414694305	0.0280225155	0.04777718075	HME
Olsenella sp. kh2p3	K01868	0.25890696	0.1288053595	0.02327338225	0.069564338	HME
Olsenella sp. kh2p3	K01870	0.4584241775	0.2421428775	0.030947928	0.12712376025	HME
Olsenella sp. kh2p3	K01874	0.3089229185	0.1945553455	0.0113585165	0.017657206	HME
Olsenella sp. kh2p3	K02028	0.2907128585	0.147639622	0.0271587965	0.04659472475	HME
Olsenella sp. kh2p3	K00244	0.4378938665	0.266040187	0.04556937025	0.10348699025	HME
Olsenella sp. kh2p3	K00848	0.34183096	0.2319189095	0.012645064	0.055898388	HME
Olsenella sp. kh2p3	K01595	0.2352975	0.181580194	0.01595626575	0.01437435975	HME
Olsenella sp. kh2p3	K01696	0.265301059	0.1443096595	0.04899198375	0.05475381025	HME
Olsenella sp. kh2p3	K01813	0.34183096	0.2319189095	0.012645064	0.055898388	HME
Olsenella sp. kh2p3	K01834	0.323348694	0.091637631	0.049536115	0.102525715	HME
Olsenella sp. kh2p3	K01950	0.1930712775	0.1411570275	0.0182774955	0.0192747995	HME
Olsenella sp. kh2p3	K02011	0.2050963635	0.163008198	0.02264351375	0.01678495375	HME
Olsenella sp. kh2p3	K00031	0.2929267065	0.2251513225	0.031224569	0.05101973925	HME
Olsenella sp. kh2p3	K00048	0.245457651	0.1643857545	0.02714578275	0.062633822	HME
Olsenella sp. kh2p3	K01649	0.294877036	0.1807067815	0.02777475225	0.06242603725	HME
Olsenella sp. kh2p3	K00100	0.148852883	0.1106926355	0.03181337	0.01260448375	HME
Olsenella sp. kh2p3	K01878	0.1684335865	0.1012932185	0.013576441	0.0294076655	HME
Olsenella sp. kh2p3	K01885	0.2646294025	0.1361427255	0.05040703	0.06110704825	HME
Olsenella sp. kh2p3	K01915	0.2113421835	0.166344914	0.0171650845	0.019410593	HME
Olsenella sp. kh2p3	K01972	0.2344315855	0.200823988	0.03143832625	0.0394157725	HME
Olsenella sp. kh2p3	K02111	0.209223497	0.1622724705	0.02466851	0.0233070355	HME
Olsenella sp. kh2p3	K00767	0.267406963	0.201791131	0.04547922025	0.038949275	HME
Olsenella sp. kh2p3	K01710	0.351155095	0.2154308435	0.0305153984999999	0.092562702	HME
Olsenella sp. kh2p3	K01740	0.3303556545	0.2820511545	0.03019774525	0.02222318075	HME
Olsenella sp. kh2p3	K01952	0.2553002885	0.204672979	0.01236065425	0.01242952125	HME
Olsenella sp. kh2p3	K00027	0.226642781	0.190880829	0.0378849655	0.03840180375	HME
Olsenella sp. kh2p3	K00088	0.251526866	0.1919815585	0.02858475975	0.01138365025	HME
Olsenella sp. kh2p3	K00533	0.241322349	0.2082489195	0.0477142154999999	0.0225893015	HME
Olsenella sp. kh2p3	K00625	0.266474546	0.2157937665	0.0240822415	0.051743308	HME
Olsenella sp. kh2p3	K02032	0.279936223	0.19414017	0.15686890175	0.01591300675	HME
Olsenella sp. kh2p3	K01489	0.05799373	0.1547920895	0.06248963825	0.050712996	LME
Olsenella sp. kh2p3	K01872	0.355853649	0.274148162	0.031552104	0.098620967	HME
Olsenella sp. kh2p3	K01995	0.3414004055	0.275848227	0.0617497185000001	0.0664959015	HME
Olsenella sp. kh2p3	K02112	0.207882502	0.180164835	0.0292735775	0.036366276	HME
Olsenella sp. kh2p3	K01951	0.2630486165	0.2303747265	0.04194204225	0.036333033	HME
Olsenella sp. kh2p3	K02012	0.337654809	0.284161694	0.0443955500000001	0.048745159	HME
Olsenella sp. kh2p3	K00058	0.263727054	0.173185015	0.04253206625	0.09801921625	HME
Olsenella umbonata KHGC19	K00134	0.343510355	0.2521195725	0.05537939475	0.0425892920000001	HME
Olsenella umbonata KHGC19	K02031	0.2753718995	0.231468479	0.03926094025	0.03297270575	HME
Olsenella umbonata KHGC19	K02034	0.2753718995	0.231468479	0.03926094025	0.03297270575	HME
Olsenella umbonata WCP15	K02031	0.1925499475	0.1682802425	0.01005657875	0.029608669	HME
Olsenella umbonata WCP15	K02034	0.1925499475	0.1682802425	0.01005657875	0.029608669	HME
Olsenella umbonata WCP15	K02622	0.2567711665	0.204114405	0.0298386895	0.00619171325000001	HME
Olsenella umbonata WCP15	K00174	0.213533554	0.182545193	0.00538960875	0.0194173825	HME
Olsenella umbonata WCP15	K00186	0.213533554	0.182545193	0.00538960875	0.0194173825	HME
Oribacterium sp. WCC10	K01740	0.0604671965	0.0427499885	0.01525873175	0.0109006705	HME
Oribacterium sp. WCC10	K02477	0.3095238095	0.1814113595	0.0812499995	0.04955297375	HME
Oscillibacter ruminantium GH1	K01338	0.0969579515	0.0810612625	0.00729157925	0.00896567125	HME
Oscillibacter ruminantium GH1	K01712	0.1833010735	0.1623747615	0.00667362850000003	0.02105582925	HME
Oscillibacter ruminantium GH1	K01835	0.247486899	0.1958652205	0.021902574	0.02161246225	HME
Oscillibacter ruminantium GH1	K01840	0.247486899	0.1958652205	0.021902574	0.02161246225	HME
Oscillibacter ruminantium GH1	K00831	0.303085629	0.2620635645	0.01258150375	0.0499706015	HME
Oscillibacter ruminantium GH1	K01867	0.20710365	0.1331005825	0.02635807275	0.03720363	HME
Oscillibacter ruminantium GH1	K00611	0.172898098	0.133034088	0.01488027175	0.01288795325	HME
Oscillibacter ruminantium GH1	K01939	0.1611006015	0.2074174745	0.02076884025	0.0230659865	LME
Ruminococcaceae bacterium AB4001	K00179	0.031553058	0.043063063	0.005365144	0.013848623	LME
Ruminococcaceae bacterium AB4001	K01886	0.0829439485	0.1303608045	0.042749676	0.02225170775	LME
Ruminococcaceae bacterium AB4001	K01895	0.049097977	0.0634166145	0.0059112515	0.0029735025	LME
Ruminococcaceae bacterium AB4001	K00602	0.0486441	0.1139692615	0.02904112675	0.0110530645	LME
Ruminococcaceae bacterium YAD3003	K00625	0.0457181275	0.0602028655	0.0126092685	0.00709018224999999	LME
Ruminococcaceae bacterium YAD3003	K01571	0.0503496015	0.068291194	0.0102500145	0.0042347425	LME
Ruminococcaceae bacterium YAD3003	K01939	0.0451877935	0.072219281	0.02334165	0.00877684449999999	LME
Ruminococcaceae bacterium YAD3003	K01960	0.0503496015	0.068291194	0.0102500145	0.0042347425	LME
Ruminococcaceae bacterium YAD3003	K02470	0.033958958	0.060740652	0.01504254525	0.009384635	LME
Ruminococcaceae bacterium YAD3003	K00820	0.070559371	0.1040525295	0.0125765755	0.0152556995	LME
Ruminococcaceae bacterium YAD3003	K01572	0.064725396	0.1123852165	0.01503867275	0.02478594475	LME
Ruminococcaceae bacterium YAD3003	K01621	0.0320334955	0.0500983095	0.00250385075	0.01237640475	LME
Ruminococcus bromii YE282	K00134	0.071390858	0.0954919095	0.01044524225	0.00957396525	LME
Selenomonas ruminantium AB3002	K01955	0.133084861	0.1092782815	0.0220421795	0.02889097875	HME
Slackia heliotrinireducens DSM 20476	K00611	0.4701805195	0.352183872	0.0424542922500001	0.02138259175	HME
Succiniclasticum ruminis DSM11005	K00077	0.044750945	0.0956489795	0.066194545	0.00641477300000001	LME
Succiniclasticum ruminis DSM11005	K00533	0.052486839	0.0578899515	0.00788318625	0.00393347725	LME
Succiniclasticum ruminis DSM11005	K00688	0.0632460915	0.116294618	0.05316475925	0.00660395075	LME
Succiniclasticum ruminis DSM11005	K00705	0.1627787145	0.1303612305	0.0544250025	0.0058574075	HME
Succiniclasticum ruminis DSM11005	K00927	0.055888366	0.0641727355	0.01135643275	0.000526857000000006	LME
Succiniclasticum ruminis DSM11005	K00930	0.11133417	0.125366906	0.00867365650000002	0.00782709625	LME
Succiniclasticum ruminis DSM11005	K00943	0.076683531	0.180657225	0.067309951	0.02691039925	LME
Succiniclasticum ruminis DSM11005	K01000	0.0492737125	0.101047816	0.04936261475	0.02677144425	LME
Succiniclasticum ruminis DSM11005	K01090	0.0722346575	0.1283655115	0.047842617	0.01099593675	LME
Succiniclasticum ruminis DSM11005	K01200	0.1627787145	0.1303612305	0.0544250025	0.0058574075	HME
Succiniclasticum ruminis DSM11005	K01236	0.058038658	0.079400932	0.01603223275	0.00374487575	LME
Succiniclasticum ruminis DSM11005	K01491	0.074802182	0.1485878155	0.060682282	0.00974957800000001	LME
Succiniclasticum ruminis DSM11005	K01751	0.19589251	0.100322149	0.11772569325	0.0286512935	HME
Succiniclasticum ruminis DSM11005	K01754	0.19589251	0.100322149	0.11772569325	0.0286512935	HME
Succiniclasticum ruminis DSM11005	K01803	0.055888366	0.0641727355	0.01135643275	0.000526857000000006	LME
Succiniclasticum ruminis DSM11005	K01875	0.0427012015	0.067034284	0.037499515	0.00613050325	LME
Succiniclasticum ruminis DSM11005	K01878	0.0114113625	0.0076220425	0.0395501075	0.000364354500000001	HME
Succiniclasticum ruminis DSM11005	K01952	0.0574049985	0.068836966	0.01019405275	0.00344687525	LME
Succiniclasticum ruminis DSM11005	K02226	0.0645294765	0.1289695165	0.01269478475	0.0487833835	LME
Succiniclasticum ruminis DSM11005	K02313	0.068857243	0.112253485	0.0686125815	0.013109301	LME
Succiniclasticum ruminis DSM11005	K02438	0.1627787145	0.1303612305	0.0544250025	0.0058574075	HME
Succiniclasticum ruminis DSM11005	K02499	0.099972081	0.1377328295	0.0241155185	0.00547402699999999	LME
Succiniclasticum ruminis DSM11005	K00626	0.134556092	0.108290914	0.28501240325	0.01085728525	HME
Succiniclasticum ruminis DSM11005	K00700	0.12535808	0.104810293	0.0441820835	0.00412984625	HME
Succiniclasticum ruminis DSM11005	K00949	0.082756603	0.205053898	0.06730389275	0.0163059845	LME
Succiniclasticum ruminis DSM11005	K01006	0.0676662745	0.076587942	0.014166697	0.00379500475	LME
Succiniclasticum ruminis DSM11005	K01101	0.067695117	0.0518278405	0.102788978	0.00314222449999999	HME
Succiniclasticum ruminis DSM11005	K01187	0.12535808	0.104810293	0.0441820835	0.00412984625	HME
Succiniclasticum ruminis DSM11005	K01758	0.070995878	0.0469288445	0.01377189125	0.00615451125000001	HME
Succiniclasticum ruminis DSM11005	K01776	0.1063217655	0.1365786625	0.01984018475	0.0036001195	LME
Succiniclasticum ruminis DSM11005	K01808	0.045611015	0.152075034	0.0422852125	0.017633584	LME
Succiniclasticum ruminis DSM11005	K01897	0.0689101915	0.09897263	0.00989588925	0.006597031	LME
Succiniclasticum ruminis DSM11005	K01924	0.090204655	0.072024526	0.0069597825	0.0021178035	HME
Succiniclasticum ruminis DSM11005	K02010	0.0538766465	0.0733228445	0.03547316925	0.00367290599999999	LME
Succiniclasticum ruminis DSM11005	K02227	0.068535295	0.094715372	0.03560584475	0.00195995275000001	LME
Succiniclasticum ruminis DSM11005	K02338	0.0525459985	0.08302947	0.040623873	0.00561553625	LME
Succiniclasticum ruminis DSM11005	K02341	0.103901734	0.1206308075	0.00687947925000001	0.00958088725	LME
Succiniclasticum ruminis DSM11005	K02566	0.067695117	0.0518278405	0.102788978	0.00314222449999999	HME
Succiniclasticum ruminis DSM11005	K00013	0.053565641	0.066549418	0.010264198	0.00272437550000002	LME
Succiniclasticum ruminis DSM11005	K00243	0.050389524	0.0783875495	0.0408481785	0.0013223965	LME
Succiniclasticum ruminis DSM11005	K00768	0.0528060025	0.0778442835	0.01854649025	0.00919378775000002	LME
Succiniclasticum ruminis DSM11005	K00833	0.072587917	0.052698695	0.0508797795	0.00976042125000001	HME
Succiniclasticum ruminis DSM11005	K01495	0.052426521	0.08654811	0.0382729115	0.00527476525000001	LME
Succiniclasticum ruminis DSM11005	K01892	0.053118426	0.0675412555	0.0146923935	0.00564485874999998	LME
Succiniclasticum ruminis DSM11005	K02230	0.085217679	0.1168502055	0.01892849825	0.006672896	LME
Succiniclasticum ruminis DSM11005	K02314	0.083648852	0.1246332825	0.0275833035	0.00645439924999999	LME
Succiniclasticum ruminis DSM11005	K02340	0.0785994225	0.1132380135	0.05054523375	0.01815571625	LME
Succiniclasticum ruminis DSM11005	K00655	0.030519937	0.091235477	0.0438295265	0.00754329950000002	LME
Succiniclasticum ruminis DSM11005	K00937	0.0477080665	0.0633180895	0.0400236645	0.00944529249999999	LME
Succiniclasticum ruminis DSM11005	K01089	0.0881278645	0.129352031	0.01266572	0.004250849	LME
Succiniclasticum ruminis DSM11005	K01163	0.078196036	0.107621702	0.00490657624999999	0.0108101085	LME
Succiniclasticum ruminis DSM11005	K01443	0.1644924505	0.1333757625	0.027773694	0.01209733025	HME
Succiniclasticum ruminis DSM11005	K01524	0.080048668	0.093240499	0.01154727475	0.00692807399999998	LME
Succiniclasticum ruminis DSM11005	K01693	0.0881278645	0.129352031	0.01266572	0.004250849	LME
Succiniclasticum ruminis DSM11005	K01740	0.0796024625	0.094191576	0.02092077025	0.00527083824999999	LME
Succiniclasticum ruminis DSM11005	K01872	0.0676996215	0.0874905	0.027661996	0.00286273625	LME
Succiniclasticum ruminis DSM11005	K02005	0.0790155055	0.118247019	0.01952783825	0.01229369475	LME
Succiniclasticum ruminis DSM11005	K02071	0.078870996	0.084415496	0.0138690525	0.00290962174999999	LME
Succiniclasticum ruminis DSM11005	K02190	0.0788557295	0.0986346205	0.0276717855	0.00638787975000001	LME
Succiniclasticum ruminis DSM11005	K02428	0.0991656575	0.127872069	0.01269668125	0.00888000424999999	LME
Succiniclasticum ruminis DSM11005	K02528	0.1715251135	0.124750965	0.04421625625	0.01793128675	HME
Succiniclasticum ruminis DSM11005	K02600	0.0478833445	0.0726147905	0.01124502	0.005555243	LME
Succiniclasticum ruminis DSM11005	K00262	0.1069329715	0.1229770375	0.0201679265	0.01648033875	LME
Succiniclasticum ruminis DSM11005	K00384	0.092763996	0.1305220445	0.02162677725	0.01874354625	LME
Succiniclasticum ruminis DSM11005	K00817	0.062381088	0.0985391695	0.025757578	0.01071855925	LME
Succiniclasticum ruminis DSM11005	K01066	0.0988361705	0.079327722	0.01932754375	0.00994640049999999	HME
Succiniclasticum ruminis DSM11005	K01586	0.0615478115	0.0688508285	0.027455577	0.003345207	LME
Succiniclasticum ruminis DSM11005	K01839	0.1225824385	0.1674312375	0.075253542	0.01185590975	LME
Succiniclasticum ruminis DSM11005	K01879	0.0757276365	0.096620367	0.026697464	0.00384829025000001	LME
Succiniclasticum ruminis DSM11005	K01881	0.026936745	0.04351369	0.00795677575000001	0.00831375025	LME
Succiniclasticum ruminis DSM11005	K01955	0.0565308585	0.0727106875	0.012150693	0.003141587	LME
Succiniclasticum ruminis DSM11005	K01575	0.176691065	0.184178464	0.00900503624999999	0.00764764025000003	LME
Succiniclasticum ruminis DSM11005	K00812	0.042922556	0.059565393	0.0276323575	0.0046167555	LME
Succiniclasticum ruminis DSM11005	K00912	0.077870705	0.1260798785	0.03500432775	0.00637148174999999	LME
Succiniclasticum ruminis DSM11005	K01486	0.130945518	0.1620525185	0.06090648	0.00248833874999996	LME
Succiniclasticum ruminis DSM11005	K02407	0.066892896	0.110209591	0.07210118625	0.00586024975000002	LME
Succiniclasticum ruminis DSM11005	K02527	0.077870705	0.1260798785	0.03500432775	0.00637148174999999	LME
Succiniclasticum ruminis DSM11005	K00088	0.0517291515	0.044224781	0.0096641865	0.00449267474999999	HME
Succiniclasticum ruminis DSM11005	K00336	0.047470977	0.059135204	0.02809144975	0.0019689355	LME
Succiniclasticum ruminis DSM11005	K00703	0.090029894	0.078845699	0.006689074	0.00557478025000001	HME
Succiniclasticum ruminis DSM11005	K01273	0.036630037	0.064801178	0.0208218375	0.00274590149999999	LME
Succiniclasticum ruminis DSM11005	K01869	0.033086554	0.039483935	0.0059570415	0.00262536925	LME
Succiniclasticum ruminis DSM11005	K01940	0.0825504625	0.07322937	0.024353843	0.00251855225	HME
Succiniclasticum ruminis DSM11005	K02006	0.0618051805	0.069010989	0.00932550574999999	0.00708502225	LME
Succiniclasticum ruminis DSM11005	K02015	0.021277987	0.049097133	0.0084455995	0.01142491175	LME
Succiniclasticum ruminis DSM11005	K02233	0.076301262	0.0470726305	0.03210543125	0.01740168375	HME
Succiniclasticum ruminis DSM11005	K00104	0.0566765	0.064607493	0.025199554	0.002504826	LME
Succiniclasticum ruminis DSM11005	K00133	0.0263507985	0.0373980795	0.007475107	0.0047283995	LME
Succiniclasticum ruminis DSM11005	K00265	0.0577319485	0.071950622	0.0114348685	0.004364592	LME
Succiniclasticum ruminis DSM11005	K00284	0.0577319485	0.071950622	0.0114348685	0.004364592	LME
Succiniclasticum ruminis DSM11005	K01465	0.0528250235	0.0831227925	0.03538000775	0.01902548275	LME
Succiniclasticum ruminis DSM11005	K01678	0.0392783965	0.0495232175	0.019167105	0.000871665250000001	LME
Succiniclasticum ruminis DSM11005	K01768	0.0849295375	0.121920337	0.03072779175	0.024033999	LME
Succiniclasticum ruminis DSM11005	K01840	0.058912188	0.0790160095	0.0356866455	0.02229299275	LME
Succiniclasticum ruminis DSM11005	K01972	0.0872574	0.067990185	0.05085600825	0.00594554650000001	HME
Succiniclasticum ruminis DSM11005	K02072	0.023105266	0.03822931	0.010867498	0.002249834	LME
Succiniclasticum ruminis DSM11005	K02572	0.0974162575	0.1129816055	0.00725598449999999	0.007765693	LME
Succiniclasticum ruminis DSM11005	K02573	0.0974162575	0.1129816055	0.00725598449999999	0.007765693	LME
