genome,KO_number,Modules,median_comparison,TAXAID,pN_pS,order,family,genus,species,SRR,SRR_base,condition
Bacteroides sp. AR29,K00174,M00011,High,93975,0.109579638,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00174,M00011,High,93975,0.087752799,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00174,M00011,High,93975,0.090398612,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00174,M00011,High,93975,0.109657144,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.108446278,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.105664164,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.08508464,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.103478411,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.118391277,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.110834697,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.104937722,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.090913787,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.098328741,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.100874713,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.105077826,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.099940688,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.109579638,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.087752799,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.090398612,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00174,M00173,High,93975,0.109657144,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.108446278,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.105664164,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.08508464,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.103478411,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.118391277,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.110834697,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00174,M00173,High,93975,0.104937722,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.084339253,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.084519465,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.089932041,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.067024182,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.09718266,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.090007742,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.099295595,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.081683241,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00175,M00009,High,93975,0.093814,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.098606042,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.121047769,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.089568679,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.092347798,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.095978428,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.083714517,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00175,M00009,High,93975,0.093801949,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.084339253,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.084519465,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.089932041,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.067024182,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.09718266,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.090007742,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.099295595,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.081683241,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00175,M00011,High,93975,0.093814,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.098606042,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.121047769,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.089568679,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.092347798,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.095978428,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.083714517,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00175,M00011,High,93975,0.093801949,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.084339253,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.084519465,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.089932041,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.067024182,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.09718266,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.090007742,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.099295595,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.081683241,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00175,M00173,High,93975,0.093814,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.098606042,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.121047769,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.089568679,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.092347798,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.095978428,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.083714517,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00175,M00173,High,93975,0.093801949,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.103692455,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00177,M00009,High,93975,0.095559713,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00177,M00009,High,93975,0.100745124,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00177,M00009,High,93975,0.09025084,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00177,M00009,High,93975,0.082046219,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00177,M00009,High,93975,0.060167227,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00177,M00009,High,93975,0.109590306,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.056017763,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.069622077,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.087596404,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.046414718,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.109453147,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.088288866,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00177,M00009,High,93975,0.097193213,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.103692455,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00177,M00011,High,93975,0.095559713,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00177,M00011,High,93975,0.100745124,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00177,M00011,High,93975,0.09025084,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00177,M00011,High,93975,0.082046219,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00177,M00011,High,93975,0.060167227,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00177,M00011,High,93975,0.109590306,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.056017763,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.069622077,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.087596404,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.046414718,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.109453147,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.088288866,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00177,M00011,High,93975,0.097193213,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00177,M00173,High,93975,0.103692455,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
